"1","Abya yala","Continente americano","\N","\N","\N","Hukllachasqa Amirika Suyukuna mama llaqta","neutral"
"2","Abyalami chawchuri rikurimanta","Racismo en América","\N","\N","\N","racismo nisqa américa suyupi","negative"
"3","ALLPAPI TIYASHKAKUNA","ACCIDENTES GEOGRAFICOS","\N","\N","\N","ACCIDENTES GEOGRÁFICOS nisqamanta","negative"
"4","wayku","Acequia","\N","\N","\N","Zanja de riego","positive"
"5","ñawpa kawsakkuna kitsil","Antepasados","\N","\N","\N","Awkikuna","positive"
"6","Achachilasa","Antepasados","\N","\N","\N","Awkikuna","positive"
"7","Achik","Claro- luz","\N","\N","\N","chuya- k’anchay","positive"
"8","Achik mama","Madrina","\N","\N","\N","Madrina","neutral"
"9","Achik wawa","Ahijado","\N","ahijada","\N","Dios churi","neutral"
"10","Achik yaya","Padrino","\N","\N","\N","Padrino","positive"
"11","achik tayta","Padrino","\N","\N","\N","Padrino","positive"
"12","Achiksamaytu","Ozono","\N","\N","\N","Ozono nisqa","neutral"
"13","Achikshumaytu","Ozono","\N","\N","\N","Ozono nisqa","neutral"
"14","Achikyachina","Aclarar","\N","\N","\N","Chiqaqchay","negative"
"15","Achikyana","Aclarar","\N","\N","\N","Chiqaqchay","negative"
"16","Achka","mucho","\N","\N","\N","achka","negative"
"17","Achkak","Suficiente","\N","\N","\N","Achka","negative"
"18","Ahak","Ofensor","\N","\N","\N","Huchasapa","negative"
"19","Ahay","Ofender","\N","ofensa","\N","Piñachiy","negative"
"20","Akapi","Cebada","\N","\N","\N","Cebada","neutral"
"21","Akcha","Pelo","\N","cabello","\N","Chukcha","neutral"
"22","Akcha kara","Cuero cabelludo","\N","\N","\N","Uma qara","neutral"
"23","Akllashka chani","Muestra Estadística","\N","\N","\N","Muestra estadística","neutral"
"24","Akllawarmi","Virgen","\N","\N","\N","Mamacha","positive"
"25","Akllay","escoger","\N","\N","\N","akllay","neutral"
"26","Akna","Ceremonia","\N","\N","\N","Raymi","neutral"
"27","Akukutinchik","Múltiplo del gramo","\N","\N","\N","Multiple del gramo","neutral"
"28","Akuna","Masticar","\N","\N","\N","Kamuy","negative"
"29","Akuy","Vil","\N","\N","\N","Vile","negative"
"30","Alakay","Alcanzar","\N","\N","\N","Aypay","neutral"
"31","Alapana","pegar","\N","adherir","\N","pasta","positive"
"32","Alaparina","Apegarse","\N","aferrarse","\N","Kaspi","negative"
"33","Allana","Excavar","\N","\N","\N","Tuquy","neutral"
"34","Allawka","Derecha mano","\N","\N","\N","paña maki","neutral"
"35","alliman","Derecho","\N","\N","\N","Kamachiy","positive"
"36","Alli","Bien","\N","bueno","\N","Allin","positive"
"37","Alli maki","Mano derecha","\N","\N","\N","Paña maki","positive"
"38","Allichi","adorno","\N","\N","\N","adorno","positive"
"39","Allichina","Arreglar","\N","\N","\N","Allichay","positive"
"40","Allichiy","Arreglar","\N","\N","\N","Allichay","positive"
"41","Allikachina","Gustar","\N","\N","\N","Munasqa","positive"
"42","Allikay","Salud","\N","Beneficio","\N","Qali kay","positive"
"43","Allikillkay","Ortografía","\N","\N","\N","Ortografía","neutral"
"44","Allimanta","despacio","\N","de buena manera","\N","allillamanta","positive"
"45","Allimikuy","Nutrición","\N","\N","\N","Nutricion","positive"
"46","Allin","Magnifico","\N","\N","\N","Allinpuni","positive"
"47","Alliyana","Sanar","\N","curar","\N","Hanpiy","positive"
"48","Alliyay","Recuperar la salud","\N","\N","\N","Allin qhali kay","positive"
"49","Allku","Perro","\N","\N","\N","Allqu","neutral"
"50","Allpa","Tierra","\N","suelo","\N","Allpa","neutral"
"51","Allpa kara","Corteza terrestre","\N","\N","\N","Allpa kurku","neutral"
"52","Allpa khiwa","Hierba rastrera","\N","\N","\N","llanthukuq qura","neutral"
"53","Allpachawpipacha muyuy","Línea ecuatorial","\N","\N","\N","Ecuador","neutral"
"54","Allpachinkari","Erosión","\N","\N","\N","Erosión nisqa","negative"
"55","Allpachinkariy","Erosión","\N","\N","\N","Erosión nisqa","negative"
"56","Allpachukchuy","Temblor","\N","\N","\N","Kuyuriq","negative"
"57","Allpakamay saywachi","Geografía política","\N","\N","\N","Geografía política nisqamanta","neutral"
"58","Allpakutik","Movimiento de nutación","\N","\N","\N","nutación nisqa kuyuy","positive"
"59","Allpamama chaska","Planeta tierra","\N","\N","\N","Planeta Pacha","neutral"
"60","Allpamamakamay","Geografía","\N","\N","\N","Geografía nisqa","neutral"
"61","Allpamamapi rikuchi","Ubicación Geográfica","\N","\N","\N","Ubicación geográfica nisqa","neutral"
"62","Allpampay","Superficie de la tierra","\N","\N","\N","Pachamamapa hawanpi","neutral"
"63","Allpamuyuy","Movimiento de traslación","\N","\N","\N","Tikray kuyuy","positive"
"64","Allpanpa","Superficial","\N","\N","\N","Superficial nisqa","neutral"
"65","Allpapacha","Continente","\N","\N","\N","Continente","neutral"
"66","Allpapachakak","Natural","\N","\N","\N","Kaqlla","positive"
"67","Allpapachapampa","Superficie de la tierra","\N","\N","\N","Pachamamapa hawanpi","neutral"
"68","Allpapachapi tiyak chalwakuna","Recursos Ictiológicos","\N","\N","\N","Recursos Ictiológicos nisqa","neutral"
"69","Allpapachapi tiyak chukikuna","Recursos Mineros","\N","\N","\N","Recursos Mineros nisqamanta","positive"
"70","Allpapachapi tiyak yakukuna","Recursos hidrográfico","\N","\N","\N","recursos hidrográficos nisqamanta","positive"
"71","Allpapachapi tiyak yurakuna","Recursos Forestales","\N","\N","\N","Sach’a-sach’a Recursos","positive"
"72","Allpapachapi tiyakuna","Recursos naturales","\N","\N","\N","Pachamamapi kaqkuna","positive"
"73","Allpapiruruy","Movimiento de rotación","\N","\N","\N","Muyuchiy kuyuy","positive"
"74","Allparantikillka","Escritura","\N","\N","\N","Qillqay","positive"
"75","Allpashuyu","Mapa","\N","\N","\N","Mapa","neutral"
"76","Allpashuyukamay","Cartografía","\N","\N","\N","Mapa ruway","neutral"
"77","Allpawaklliyay","Erosión","\N","\N","\N","Erosión nisqa","negative"
"78","Allpawira","Petróleo","\N","\N","\N","Petroleo nisqa","negative"
"79","Wisisi","Petróleo","\N","\N","\N","Petroleo nisqa","negative"
"80","Allpawku","Subterráneo","\N","\N","\N","Allpa ukupi","neutral"
"81","Allpañan","Vía terrestre","\N","\N","\N","allpa ñan","neutral"
"82","Allpañutuchina","Desterronar","\N","\N","\N","clod","negative"
"83","Almut","Almud 25 lib","\N","\N","\N","Almud 25 libras","positive"
"84","Ama llulla","Honestidad","\N","\N","\N","Honestidad","positive"
"85","Amapuna","Traer","\N","\N","\N","Apamuy","neutral"
"86","Amaru","Serpiente","\N","\N","\N","Machaqway","neutral"
"87","Amawta","Científico","\N","\N","\N","Cientifico","positive"
"88","Amawta yachay","Contenido científico","\N","\N","\N","contenido científico nisqamanta","positive"
"89","Amawtay","Ciencia","\N","\N","\N","Ciencia","positive"
"90","Amañana","Adaptar","\N","\N","\N","Matiy","neutral"
"91","yacharina","Adaptar","\N","\N","\N","Matiy","neutral"
"92","Amañarina","Adaptarse","\N","\N","\N","Tinkuchiy","neutral"
"93","Amañariy","Adaptación","\N","\N","\N","Adaptación","neutral"
"94","Amita","sopa","\N","\N","\N","lawa","positive"
"95","Ampana","Bostezar","\N","\N","\N","Hanllapakuy","neutral"
"96","Amsa","Opaco","\N","\N","\N","Opaco","negative"
"97","Amsayana","Ocultar el sol","\N","\N","\N","intita pakay","negative"
"98","Amukay","Suavidad","\N","\N","\N","Sumaq kay","positive"
"99","Amulliy","Poner algo en la boca","\N","\N","\N","simiman imatapas churay","neutral"
"100","Ana","Lunar","\N","\N","\N","Ana","neutral"
"101","Anaku","Falda","\N","\N","\N","Wali","neutral"
"102","ñawpa kawsakkuna","Antepasados","\N","\N","\N","Awkikuna","positive"
"103","Anchachilasa","Antepasados","\N","\N","\N","Awkikuna","positive"
"104","Anchakuyay","Pasión de vehemencia amorosa","\N","\N","\N","vehemente munakuyniyuq pasión","neutral"
"105","Anchallpa","Globo Terráqueo","\N","\N","\N","Globo nisqa","neutral"
"106","Anchallpakamay","Geopolítica","\N","\N","\N","Geopolítica nisqa","positive"
"107","Anchayupay","Importancia","\N","\N","\N","Importancia nisqa","positive"
"108","Anchuchina","Quitar","\N","sustraer","\N","Put off","negative"
"109","Anchuchiy","Quitar","\N","\N","\N","Put off","negative"
"110","Anchuna","Irse de casa","\N","moverse de sitio","\N","wasimanta lluqsiy","positive"
"111","Anchuriy","retirarse","\N","\N","\N","qhipaman lluqsiy","neutral"
"112","Anchuy","retirada","\N","\N","\N","ayqiy","neutral"
"113","Anka","Gallinazo","\N","\N","\N","Gallinazo sutiyuq runa","negative"
"114","Ankana","Volar","\N","\N","\N","Chuspi","positive"
"115","Ankas","Azul","\N","\N","\N","Anqas","neutral"
"116","ANKAS TAPA WARA","blue jean","\N","\N","\N","azul vaquero","neutral"
"117","Ankay","ceremonial","\N","\N","\N","ceremonial nisqa","neutral"
"118","Ankichik","Radio emisor","\N","\N","\N","transmisor nisqa radio","positive"
"119","Ankiyachik","Radio receptor","\N","\N","\N","radio chaskiq","positive"
"120","Anku","Vena","\N","arteria","\N","Hamuychis","neutral"
"121","Ankuyana","Marchitarse envejecer","\N","\N","\N","ch’akiy machuyay","negative"
"122","Anta","Metal","\N","\N","\N","Anta","neutral"
"123","Antaki","Plomo","\N","\N","\N","Kamachiy","neutral"
"124","Antakullki","Monedas","\N","\N","\N","qullqikuna","neutral"
"125","Antanikik","Computadora","\N","\N","\N","Computadora","positive"
"126","Antanikik chaski","Correo Electrónico","\N","\N","\N","Correo electrónico","neutral"
"127","Antapachachik","Reloj mecánico","\N","\N","\N","Reloj mecánico","neutral"
"128","Antawa","Coche","\N","carro","\N","Carro","neutral"
"129","Antayari","Radio","\N","\N","\N","Radio","neutral"
"130","Antayay","Metalúrgico","\N","\N","\N","Metalúrgico nisqa","neutral"
"131","Antisuyu","Región Amazónica","\N","\N","\N","Amazonas suyu","neutral"
"132","Apana","Llevar","\N","\N","\N","Apay","neutral"
"133","Apanakuy","Llevarse","\N","relacionarse","\N","Apakuy","positive"
"134","Apankara","Cáncer enfermedad","\N","\N","\N","cáncer unquy","negative"
"135","Apankura","Cáncer signo","\N","\N","\N","cáncer unquypa señalnin","neutral"
"136","Aparikanta","Medios de transporte","\N","\N","\N","Medios de transporte nisqa","positive"
"137","Aparina","Cargar","\N","\N","\N","Huntachiy","neutral"
"138","Apariykancha","Medios de transporte","\N","\N","\N","Medios de transporte nisqa","neutral"
"139","Apay","guiar","\N","conducir","\N","qatina","positive"
"140","Api","colada","\N","mazamorra","\N","taqsay","neutral"
"141","Apuk","ancestros","\N","\N","\N","awkikuna","neutral"
