"id","Kichwa","Español","Kichwa2"
"1","Abya yala"," Continente americano ","Hukllachasqa Amirika Suyukuna mama llaqta"
"2","Abyalami chawchuri rikurimanta"," Racismo en América ","racismo nisqa américa suyupi"
"3","ACCIDENTES GEOGRAFICOS"," ALLPAPI TIYASHKAKUNA ","ALLPAPI TIYASHKAKUNA"
"4","Acequia"," Wayku ","Wayku"
"5","Achachilasa- ñawpa kawsakkuna kitsil"," Antepasados ","Awkikuna"
"6","Achik"," Claro- luz ","chuya- k’anchay"
"7","Achik mama"," Madrina ","Madrina"
"8","Achik wawa"," Ahijado- ahijada ","Godson padrino"
"9","Achik yaya / achik tayta"," Padrino ","Padrino"
"10","Achiksamaytu"," Ozono ","Ozono nisqa"
"11","Achikshumaytu"," Ozono ","Ozono nisqa"
"12","Achikyachina (yuyaymanta)"," Aclarar ","Chiqaqchay"
"13","Achikyana (punchamanta)"," Aclarar ","Chiqaqchay"
"14","Achka"," mucho ","achka"
"15","Achkak"," Suficiente ","Achka"
"16","Ahak"," Ofensor ","Huchasapa"
"17","Ahay"," Ofender- ofensa ","Hucha- ofensa"
"18","Akapi"," Cebada ","Cebada"
"19","Akcha"," Pelo- cabello ","Chukcha"
"20","Akcha kara"," Cuero cabelludo ","Uma qara"
"21","Akllashka chani"," Muestra Estadística ","Muestra estadística"
"22","Akllawarmi"," Virgen ","Mamacha"
"23","Akllay"," escoger ","akllay"
"24","Akna"," Ceremonia ","Raymi"
"25","Akna"," Ceremonia ","Raymi"
"26","Akukutinchik"," Múltiplo del gramo ","Multiple del gramo"
"27","Akuna"," Masticar ","Kamuy"
"28","Akuy"," Vil ","Vile"
"29","Alakay"," Alcanzar ","Aypay"
"30","Alapana"," pegar- adherir ","pasta- adherir"
"31","Alaparina"," Apegarse- aferrarse ","k’askanay"
"32","Allana"," Excavar ","Tuquy"
"33","Allawka"," Derecha mano ","paña maki"
"34","Allawka- alliman"," Derecho ","Kamachiy"
"35","Alli"," Bien- bueno ","Aswan allinmi"
"36","Alli maki"," Mano derecha ","Paña maki"
"37","Allichi"," adorno ","adorno"
"38","Allichina"," Arreglar ","Allichay"
"39","Allichiy"," Arreglar ","Allichay"
"40","Allikachina"," Gustar ","Munasqa"
"41","Allikay"," Salud- Bneficio ","Salud- Beneficio"
"42","Allikillkay"," Ortografía. ","Ortografía."
"43","Allikillkay (W)"," Ortografía ","Ortografía"
"44","Allimanta"," despacio- de buena manera ","pisi pisimanta - allin ñanpi"
"45","Allimikuy"," Nutrición ","Nutricion"
"46","Allin"," Magnifico ","Allinpuni"
"47","Alliyana"," Sanar- curar ","hampi- hampiy"
"48","Alliyay"," Recuperar la salud ","Allin qhali kay"
"49","Allku"," Perro ","Allqu"
"50","Allpa"," Tierra- suelo ","Allpa- allpa"
"51","Allpa kara"," Corteza terrestre ","Allpa kurku"
"52","Allpa khiwa"," Hierba rastrera ","llanthukuq qura"
"53","Allpachawpipacha muyuy"," Línea ecuatorial ","Ecuador"
"54","Allpachinkari"," Erosión ","Erosión nisqa"
"55","Allpachinkariy"," Erosión ","Erosión nisqa"
"56","Allpachukchuy"," Temblor ","Kuyuriq"
"57","Allpakamay saywachi"," Geografía política ","Geografía política nisqamanta"
"58","Allpakutik"," Movimiento de nutación ","nutación nisqa kuyuy"
"59","Allpamama chaska"," Planeta tierra ","Planeta Pacha"
"60","Allpamamakamay"," Geografía ","Geografía nisqa"
"61","Allpamamapi rikuchi"," Ubicación Geográfica ","Ubicación geográfica nisqa"
"62","Allpampay"," Superficie de la tierra ","Pachamamapa hawanpi"
"63","Allpamuyuy"," Movimiento de traslación ","Tikray kuyuy"
"64","Allpanpa"," Superficial ","Superficial nisqa"
"65","Allpapacha"," Continente ","Continente"
"66","Allpapachakak"," Natural ","Kaqlla"
"67","Allpapachapampa"," Superficie de la tierra ","Pachamamapa hawanpi"
"68","Allpapachapi tiyak chalwakuna"," Recursos Ictiológicos ","Recursos Ictiológicos nisqa"
"69","Allpapachapi tiyak chukikuna"," Recursos Mineros ","Recursos Mineros nisqamanta"
"70","Allpapachapi tiyak yakukuna"," Recursos hidrográfico ","recursos hidrográficos nisqamanta"
"71","Allpapachapi tiyak yurakuna"," Recursos Forestales ","Sach’a-sach’a Recursos"
"72","Allpapachapi tiyakuna"," Recursos naturales ","Pachamamapi kaqkuna"
"73","Allpapiruruy"," Movimiento de rotación ","Muyuchiy kuyuy"
